case,label,N,a,z,H,Omega_m,mu_eff,D_raw,D_norm,f,gamma,sigma8_z,fsigma8
C,C: Full Flux ledger,-0.6962386694074247,0.4984566424417942,1.0061925448546352,1.7586272027487857,0.7832345070970885,1.0123250373967445,0.4721263816011905,0.6072212455403797,0.8791724098667419,0.5270653561771126,0.49729965697137674,0.4372121378454294
C,C: Full Flux ledger,-0.6943918824859199,0.4993780361970842,1.0024909537778321,1.754848225180296,0.7822666709741192,1.0123218004547037,0.47289331355858844,0.6082076284170079,0.878585969464556,0.5271287484672947,0.49810748092317725,0.4376302440244375
C,C: Full Flux ledger,-0.6925450955644146,0.5003011331425419,0.9987961924425381,1.7510796869650056,0.7812951086041322,1.0123183629368913,0.47366097732913615,0.6091949525087634,0.8779971908530946,0.5271906438473909,0.4989160757076246,0.4380469129427442
C,C: Full Flux ledger,-0.6906983086429097,0.5012259364265023,0.995108248247317,1.7473268224964218,0.7803211485303634,1.0123147196944224,0.4744293703676526,0.6101832145421836,0.8774060515349146,0.5272547604917676,0.49972543864383134,0.43846212397203727
C,C: Full Flux ledger,-0.6888515217214044,0.5021524492031212,0.9914271086139799,1.7435839246909026,0.7793433535778928,1.0123108782051402,0.4751984901267719,0.6111724112409961,0.8768125854411483,0.527316997441409,0.5005355670486089,0.438875884649142
C,C: Full Flux ledger,-0.6870047347998995,0.5030806746323838,0.9877527609875496,1.7398568784794817,0.7783632359019907,1.0123068324379634,0.47596833402681676,0.6121625392873711,0.876216721283589,0.5273817685600791,0.5013464582047341,0.439288149835292
C,C: Full Flux ledger,-0.6851579478783942,0.5040106158801175,0.98408519283621,1.7361399078240523,0.7773793225677038,1.012302590066008,0.47673889946886366,0.6131535953387258,0.8756185431628339,0.5274446751408041,0.5021581093747117,0.43969895216808813
C,C: Full Flux ledger,-0.6833111609568889,0.504942276118001,0.9804243916512705,1.7324381258970516,0.7763929454768501,1.0122981458527502,0.47751018387052313,0.6141455760737425,0.8750180230115356,0.5275094193853143,0.502970517838462,0.44010826815209936
C,C: Full Flux ledger,-0.6814643740353841,0.5058756585235757,0.9767703449471195,1.7287469451140745,0.775402921528534,1.0122935061649367,0.4782821846109958,0.6151384781217029,0.8744151459448168,0.5275728631674679,0.5037836808354476,0.4405160808023449
C,C: Full Flux ledger,-0.6796175871138788,0.5068107662802577,0.9731230402611792,1.7250702987080242,0.7744102913629582,1.0122886670804334,0.4790548990446524,0.6161322980799537,0.873809911543619,0.527637775172549,0.5045975955789767,0.4409223803579884
C,C: Full Flux ledger,-0.6777708001923739,0.5077476025773463,0.9694824651538709,1.721404771145236,0.7734141654331524,1.012283633628604,0.47982832451948443,0.6171270325376372,0.8732023457661116,0.5277016409769532,0.5054122592756387,0.4413271703784379
C,C: Full Flux ledger,-0.6759240132708686,0.5086861706100373,0.9658486072085644,1.7177531320525647,0.7724152894062457,1.0122784032312149,0.4806024583796219,0.6181226780789294,0.8725924312370879,0.5277665015516468,0.5062276691279555,0.44173043256384675
C,C: Full Flux ledger,-0.6740772263493637,0.5096264735794319,0.9622214540315417,1.714113121677876,0.771413071000737,1.0122729795494607,0.4813772979236006,0.6191192312293656,0.8719801448795442,0.5278308661021669,0.5070438222904237,0.4421321456210815
C,C: Full Flux ledger,-0.6722304394278584,0.5105685146925494,0.9586009932519499,1.7104863622421334,0.7704079572080015,1.0122673613783486,0.4821528404334537,0.6201166884932562,0.8713654978115186,0.5278958445318234,0.5078607159001572,0.44253230552925477
C,C: Full Flux ledger,-0.6703836525063536,0.5115122971623363,0.954987212521764,1.7068717336384436,0.7693996567141566,1.012261550980347,0.4829290831841598,0.6211150463658387,0.8707485114984761,0.5279605530544862,0.5086783470868396,0.44293091355737074
C,C: Full Flux ledger,-0.6685368655848483,0.5124578242076792,0.9513800995157389,1.7032697267495447,0.7683883141419976,1.0122555485528684,0.4837060234364813,0.6221143013240665,0.8701291547820388,0.5280254872892922,0.5094967129651801,0.44332794421661914
C,C: Full Flux ledger,-0.666690078663343,0.5134050990534141,0.9477796419313729,1.6996803451095877,0.7673739428369296,1.0122493549293363,0.48448365840552976,0.6231144497861794,0.8695074120057538,0.5280907268465406,0.5103158106018028,0.4437233797819919
C,C: Full Flux ledger,-0.6648432917418381,0.5143541249303379,0.9441858274888648,1.696102964199084,0.7663563813712809,1.0122429717385597,0.4852619852818772,0.6241154881388561,0.8688832720842492,0.5281558775490052,0.511135637037484,0.44411720478799627
