case,model,k,Gamma0,A_mu,G_void_k,G_collapse_k,D_today,sigma8_today,S8,f_sigma8_z0p5,f_sigma8_z1p0,gamma_z0,gamma_z0p5,Gamma_topo_z0,Gamma_topo_z1,mu_eff_z0,mu_eff_z1,delta_S8_vs_LCDM_percent
B_flux_topology_linear,flux,0.1,0.29,0.0,0.8797113999598205,0.0066928509242848554,0.725866883092611,0.7557021871224209,0.7557021871224209,0.4135684819366799,0.38479350479815755,0.6047284786403582,0.699457368308167,0.04461490626067292,0.2040207689791016,1.0,1.0,-6.81847261129213
C_flux_topology_halo,flux,10.0,0.29,0.25,0.00033191490682538127,0.9933071490757153,0.85325335898269,0.8883246288982469,0.8883246288982469,0.5512455730544705,0.48527363239703364,0.46136388209058976,0.3691475203388252,1.683319376696803e-05,7.697698873657206e-05,1.2394579734378957,1.1915663549218725,9.534479518896037
B_flux_topology_linear,flux,0.1,0.3,0.0,0.8797113999598205,0.0066928509242848554,0.7240756264878658,0.753837304503536,0.753837304503536,0.4116863175867109,0.3832252610445699,0.6064499156815565,0.7046040113605646,0.0461533513041444,0.21105596790941547,1.0,1.0,-7.048421146296426
C_flux_topology_halo,flux,10.0,0.3,0.25,0.00033191490682538127,0.9933071490757153,0.8532524853740504,0.8883237193816743,0.8883237193816743,0.551244617803001,0.48527289309660454,0.4613644030365434,0.36914935517753844,1.7413648724449685e-05,7.963136765852283e-05,1.2394579734378957,1.1915663549218725,9.534367371353175
B_flux_topology_linear,flux,0.1,0.31,0.0,0.8797113999598205,0.0066928509242848554,0.7222933807915793,0.7519818031684499,0.7519818031684499,0.40981522299175194,0.38166480676190134,0.6081703755834796,0.7097476900356001,0.047691796347615875,0.21809116683972932,1.0,1.0,-7.277212926208407
C_flux_topology_halo,flux,10.0,0.31,0.25,0.00033191490682538127,0.9933071490757153,0.8532516288787092,0.888322827681808,0.888322827681808,0.5512436934112542,0.48527217182777976,0.46136474489752866,0.369151105370963,1.799410368193134e-05,8.228574658047358e-05,1.2394579734378957,1.1915663549218725,9.534257420691489
B_flux_topology_linear,flux,0.1,0.32,0.0,0.8797113999598205,0.0066928509242848554,0.7205200929360256,0.7501356278681935,0.7501356278681935,0.40795518432823963,0.38011212727908766,0.6098888298051925,0.714888098475572,0.04923024139108736,0.22512636577004314,1.0,1.0,-7.504854763477991
C_flux_topology_halo,flux,10.0,0.32,0.25,0.00033191490682538127,0.9933071490757153,0.853250750976012,0.8883219136946793,0.8883219136946793,0.551242732209084,0.48527140364745963,0.4613653274012811,0.36915295442055984,1.8574558639413e-05,8.494012550242435e-05,1.2394579734378957,1.1915663549218725,9.534144721908659
B_flux_topology_linear,flux,0.1,0.33,0.0,0.8797113999598205,0.0066928509242848554,0.7187557550459829,0.7482987704038503,0.7482987704038503,0.4061061563017756,0.3785671885183997,0.6116060615003909,0.7200251633543063,0.050768686434558834,0.232161564700357,1.0,1.0,-7.731347669069021
C_flux_topology_halo,flux,10.0,0.33,0.25,0.00033191490682538127,0.9933071490757153,0.8532498726567945,0.88832099927391,0.88832099927391,0.5512417678302692,0.4852706527437211,0.461365903399479,0.36915481394553623,1.9155013596894656e-05,8.759450442437511e-05,1.2394579734378957,1.1915663549218725,9.534031969655967
B_flux_topology_linear,flux,0.1,0.34,0.0,0.8797113999598205,0.0066928509242848554,0.7170002471972141,0.7464711059219374,0.7464711059219374,0.40426800535413787,0.3770299293166974,0.6133219423552928,0.7251590501799124,0.052307131478030316,0.23919676363067083,1.0,1.0,-7.956707037985526
C_flux_topology_halo,flux,10.0,0.34,0.25,0.00033191490682538127,0.9933071490757153,0.8532490273859485,0.8883201192598993,0.8883201192598993,0.5512408538997963,0.48526992403183955,0.46136647572955863,0.36915653439917195,1.973546855437631e-05,9.024888334632588e-05,1.2394579734378957,1.1915663549218725,9.533923459913591
B_flux_topology_linear,flux,0.1,0.35,0.0,0.8797113999598205,0.0066928509242848554,0.715253509034745,0.7446525715867105,0.7446525715867105,0.40244062840805195,0.37550030324164746,0.6150364234241077,0.730289863998637,0.0538455765215018,0.2462319625609847,1.0,1.0,-8.180940618161474
C_flux_topology_halo,flux,10.0,0.35,0.25,0.00033191490682538127,0.9933071490757153,0.8532481252111132,0.8883191800029747,0.8883191800029747,0.5512398630202457,0.4852691466619375,0.461367123912886,0.36915845109162587,2.0315923511857967e-05,9.290326226827662e-05,1.2394579734378957,1.1915663549218725,9.533807645249649
