z,elapsed_years_since_zmax,sfrd_msun_yr_mpc3,rho_star_msun_mpc3,lum_density_lsun_mpc3,lum_density_w_mpc3,fusion_chain_rate_mpc3_s,proton_processing_rate_mpc3_s,T_sink_K,entropy_rate_J_K_mpc3_s,entropy_rate_kB_mpc3_s
16.3260543423904,59866134.813315034,0.0014902923689091264,50588.55458871479,16862.851529571595,6.455099565520007e+30,1.5089723788292455e+42,6.035889515316982e+42,47.222161110185034,1.3557805587919956e+29,9.819878613550552e+51
16.322720453408902,59935102.71973926,0.001491124221144164,50663.606645794694,16887.868881931565,6.464676208003404e+30,1.511211056767934e+42,6.044844227071736e+42,47.21307459576596,1.3580554376480938e+29,9.836355494032834e+51
16.319386564427404,60004103.80931135,0.0014919566978707365,50738.73673013603,16912.912243378676,6.474262806765357e+30,1.5134520621299545e+42,6.053808248519818e+42,47.203988081346886,1.3603332906492745e+29,9.852853916160258e+51
16.316052675445906,60073138.1043844,0.0014927897996778825,50813.94493789329,16937.98164596443,6.483859374075185e+30,1.5156953977834364e+42,6.062781591133745e+42,47.19490156692781,1.3626141221018075e+29,9.86937391112301e+51
16.312718786464412,60142205.62733077,0.0014936235271553091,50889.23136535791,16963.07712178597,6.493465922219669e+30,1.5179410666005914e+42,6.071764266402365e+42,47.18581505250875,1.364897936318968e+29,9.885915510162017e+51
16.309384897482914,60211306.400542445,0.0014944578808933988,50964.59610895881,16988.19870298627,6.503082463503144e+30,1.520189071457735e+42,6.08075628583094e+42,47.17672853808968,1.3671847376210607e+29,9.902478744569117e+51
16.306051008501417,60280440.446430564,0.0014952928614831989,51040.03926526212,17013.346421754042,6.512709010247448e+30,1.522439415235274e+42,6.089757660941097e+42,47.16764202367061,1.3694745303354158e+29,9.919063645687033e+51
16.30271711951992,60349607.78742577,0.00149612846951643,51115.56093097177,17038.520310323922,6.522345574791997e+30,1.5246921008177247e+42,6.098768403270899e+42,47.158555509251535,1.3717673187964131e+29,9.935670244909553e+51
16.299383230538425,60418808.44597808,0.0014969647055854856,51191.16120292948,17063.720400976494,6.531992169493802e+30,1.5269471310937157e+42,6.107788524374863e+42,47.149468994832475,1.3740631073454905e+29,9.952298573681582e+51
16.296049341556927,60488042.444557205,0.0014978015702834329,51266.84017811537,17088.94672603846,6.541648806727523e+30,1.529204508956002e+42,6.116818035824007e+42,47.1403824804134,1.3763619003311633e+29,9.968948663499291e+51
