V_ref,n,Point_MAE,Galaxy_MAE
140.0,4.5,20.235951350686705,19.436605684188834
140.0,4.75,20.259413367687223,19.457423279409074
140.0,5.0,20.28169944582898,19.477210395155915
140.0,5.25,20.302831695586605,19.495996344394733
140.0,5.5,20.322971645053464,19.513904106133413
140.0,5.75,20.342262198074323,19.531057531752957
140.0,6.0,20.36054071654028,19.54747763357343
145.0,1.0,19.91629290013307,19.12787999157527
145.0,1.25,19.912398448650066,19.137411395755603
145.0,1.5,19.925432610506164,19.15519295630458
145.0,1.75,19.946709960401616,19.177666522669956
145.0,2.0,19.97259299534807,19.203296764339726
145.0,2.25,20.001501470977157,19.230795048216056
145.0,2.5,20.031805326877976,19.259222555566858
145.0,2.75,20.062914030489456,19.288191713055806
145.0,3.0,20.093851838494466,19.316818290772463
145.0,3.25,20.123935054205017,19.34454527205994
145.0,3.5,20.153046162198308,19.371355211752547
145.0,3.75,20.181057105790625,19.397130436762833
145.0,4.0,20.208290030199944,19.42204233928132
145.0,4.25,20.23446534040074,19.445881858468237
145.0,4.5,20.259412991559074,19.468526781924936
145.0,4.75,20.283089301287525,19.489997468205427
145.0,5.0,20.305535584048314,19.510330509173116
145.0,5.25,20.327125672276107,19.529758687656624
145.0,5.5,20.34777668378347,19.548359704904094
145.0,5.75,20.367382315610612,19.566196422392853
145.0,6.0,20.38588909107593,19.583082278110695
150.0,1.0,19.927200454701,19.13950044073159
150.0,1.25,19.92460781190919,19.151202293197766
150.0,1.5,19.93879885627922,19.170998341310582
150.0,1.75,19.96156638827379,19.19556458604103
150.0,2.0,19.98850770299885,19.22297805690434
150.0,2.25,20.017965189827493,19.25201153628422
150.0,2.5,20.04960016174082,19.28228102511957
150.0,2.75,20.081908701677442,19.31296318511155
150.0,3.0,20.113598811555924,19.342923293026963
150.0,3.25,20.144290367910365,19.371813612894123
150.0,3.5,20.173923273977028,19.399513020404452
150.0,3.75,20.202670916210398,19.426306649637883
150.0,4.0,20.230191195093806,19.45187599174675
150.0,4.25,20.25637161856778,19.476124842677645
150.0,4.5,20.281259065151357,19.49916641135086
150.0,4.75,20.304868968262024,19.52099321669769
150.0,5.0,20.327535885164423,19.54181534242491
150.0,5.25,20.349203048771706,19.561714293603877
150.0,5.5,20.369821256720275,19.580816277762963
150.0,5.75,20.389410352809723,19.59900030182617
150.0,6.0,20.408100189027422,19.61630168996999
155.0,1.0,19.93807360086618,19.150951832934688
155.0,1.25,19.936817034460823,19.164730463544533
155.0,1.5,19.952004046084,19.186448955837392
155.0,1.75,19.976106358209,19.213094800724587
155.0,2.0,20.00432312118977,19.24223992917536
155.0,2.25,20.03468619612072,19.272930829963393
155.0,2.5,20.067097970902157,19.304919321816026
155.0,2.75,20.10010535456451,19.33693726779308
155.0,3.0,20.132422234774104,19.368043425336083
155.0,3.25,20.16370471218504,19.398014580836545
155.0,3.5,20.193974456415546,19.426936188745046
155.0,3.75,20.22309575927025,19.454663336913594
155.0,4.0,20.250902446599856,19.481049780106005
155.0,4.25,20.277372884174355,19.50605951768732
155.0,4.5,20.302416595426262,19.529677533505147
155.0,4.75,20.32611161677408,19.551998765062574
155.0,5.0,20.34872137161253,19.57323831919132
155.0,5.25,20.370198208672253,19.593498891003435
155.0,5.5,20.39064752425595,19.61287617467335
155.0,5.75,20.41006275075827,19.6311702570418
155.0,6.0,20.428489363050158,19.64863027666392
160.0,1.0,19.948860063850063,19.1622088814667
160.0,1.25,19.948861375329333,19.178057834137157
160.0,1.5,19.965344161829808,19.201718181350547
160.0,1.75,19.990467736929304,19.230235303835595
160.0,2.0,20.019778407838878,19.26110453125454
160.0,2.25,20.051314016663557,19.293478194937705
160.0,2.5,20.084662667759368,19.327049378161178
160.0,2.75,20.11789721673254,19.360127888051792
160.0,3.0,20.150426738704592,19.392265953778644
160.0,3.25,20.182164246883225,19.42334090189395
160.0,3.5,20.21305594871439,19.453409128969344
160.0,3.75,20.242430483432702,19.481929263947737
160.0,4.0,20.270294801494238,19.50891062591067
160.0,4.25,20.296622041977056,19.534361403888333
160.0,4.5,20.321512281328836,19.55835731884734
160.0,4.75,20.34536442536803,19.58118908797871
160.0,5.0,20.368018379237096,19.602906681307207
160.0,5.25,20.3895403881483,19.623676107634388
160.0,5.5,20.40976773858127,19.643224234120957
160.0,5.75,20.429052110095313,19.661967029772416
160.0,6.0,20.447242532387392,19.67968068451106
165.0,1.0,19.959776499672163,19.173404563203356
165.0,1.25,19.96076298141331,19.191119910676825
165.0,1.5,19.978565967898387,19.21674476238591
165.0,1.75,20.004926169008854,19.247092269884863
165.0,2.0,20.035240699522447,19.279646153846564
165.0,2.25,20.067668051347006,19.313584042086962
165.0,2.5,20.10171423710765,19.348483729165952
165.0,2.75,20.1355148478189,19.382710603210317
165.0,3.0,20.16852228880512,19.415998295352498
165.0,3.25,20.200546552814956,19.44818940236995
165.0,3.5,20.231249308868083,19.478918913621634
165.0,3.75,20.26051283271458,19.508025870897306
165.0,4.0,20.288339945553805,19.535528789914114
165.0,4.25,20.31462459524689,19.561456831660852
165.0,4.5,20.339509383600955,19.58595023711963
165.0,4.75,20.363264632124693,19.609241420857543
165.0,5.0,20.38587384230465,19.631561085375484
165.0,5.25,20.407193544628203,19.65267323810749
